Player,Pos,Age,Tm,G,MP,3P,2P,FT,AST,STL,BLK,PF,PTS
Player,Pos,Age,Tm,G,MP,3P,2P,FT,AST,STL,BLK,PF,PTS
Ron Harper Jr.,PF,23,TOR,1,4,0,0,0,1,0,0,2,0
Gary Harris,SG,29,ORL,54,1297,76,55,34,87,49,14,91,372
Joe Harris,SG,32,DET,16,170,10,4,1,10,3,2,19,39
Kevon Harris,SG,26,ORL,2,6,0,2,0,1,0,0,3,4
Tobias Harris,PF,31,PHI,70,2368,91,372,187,217,70,46,115,1204
Shaquille Harrison,SG,30,MEM,3,6,0,1,0,0,0,1,0,2
Josh Hart,SF,28,NYK,81,2707,80,215,91,331,75,23,171,761
Isaiah Hartenstein,C,25,NYK,75,1896,1,234,111,188,87,85,210,582
Sam Hauser,SF,26,BOS,79,1741,197,52,17,82,40,25,99,712
Jordan Hawkins,SG,21,NOP,67,1160,109,65,67,70,19,7,72,524
Jaxson Hayes,C,23,LAL,70,877,0,126,51,33,34,29,123,303
Killian Hayes,PG,22,DET,42,1008,22,95,33,205,36,20,75,289
Gordon Hayward,SF,33,TOT,51,1245,37,150,89,158,40,13,67,500
Gordon Hayward,SF,33,CHO,25,798,22,117,62,116,28,12,46,362
Gordon Hayward,SF,33,OKC,26,447,15,33,27,42,12,1,21,138
Scoot Henderson,PG,19,POR,62,1765,87,220,167,336,48,13,195,868
Taylor Hendricks,PF,20,UTA,40,856,53,55,23,32,28,30,77,292
Tyler Herro,SG,24,MIA,42,1407,132,192,95,188,30,3,63,875
Buddy Hield,SF-SG,31,TOT,84,2160,219,152,52,236,70,42,169,1013
Buddy Hield,SF,31,IND,52,1336,137,92,28,139,43,31,103,623
Buddy Hield,SG,31,PHI,32,824,82,60,24,97,27,11,66,390
Haywood Highsmith,PF,27,MIA,66,1366,76,77,23,70,53,30,117,405
Nate Hinton,SG,24,HOU,15,75,7,4,4,10,3,2,11,33
D'Moi Hodge,SG,25,LAL,7,41,3,2,1,5,1,1,4,14
Player,Pos,Age,Tm,G,MP,3P,2P,FT,AST,STL,BLK,PF,PTS
Aaron Holiday,PG,27,HOU,78,1269,84,102,58,140,42,6,125,514
Jrue Holiday,PG,33,BOS,69,2263,138,193,60,333,61,53,108,860
Justin Holiday,SG,34,DEN,58,862,55,33,3,67,36,9,69,234
Richaun Holmes,C-PF,30,TOT,40,555,1,81,34,25,11,19,74,199
Richaun Holmes,C,30,DAL,23,237,0,33,12,15,3,9,33,78
Richaun Holmes,PF,30,WAS,17,318,1,48,22,10,8,10,41,121
Chet Holmgren,C,21,OKC,82,2413,129,376,218,200,53,190,197,1357
Jalen Hood-Schifino,SG,20,LAL,21,109,2,8,12,8,3,2,13,34
Al Horford,C,37,BOS,65,1740,108,106,26,168,38,62,93,562
Talen Horton-Tucker,PG,23,UTA,51,1009,60,124,88,177,45,19,94,516
Danuel House Jr.,SF,30,PHI,34,509,15,32,35,28,15,5,45,144
Caleb Houstan,SF,21,ORL,59,815,72,8,21,29,15,4,61,253
Jett Howard,SF,20,ORL,18,67,7,3,2,6,2,2,4,29
Kevin Huerter,SG,25,SAC,64,1562,123,125,36,166,45,23,135,655
Jay Huff,C,25,DEN,20,49,3,6,2,2,2,3,9,23
De'Andre Hunter,SF,26,ATL,57,1681,117,187,166,87,40,16,146,891
Matthew Hurt,PF,23,MEM,8,113,5,7,3,4,3,3,8,32
Bones Hyland,PG,23,LAC,37,540,44,53,18,93,26,4,51,256
Joe Ingles,SF,36,ORL,68,1169,70,29,28,203,43,5,88,296
Brandon Ingram,SF,26,NOP,64,2103,86,414,246,363,50,40,145,1332
Kyrie Irving,SG,31,DAL,58,2030,173,389,190,299,74,28,112,1487
Jonathan Isaac,PF,26,ORL,58,914,42,104,59,30,43,70,64,393
Player,Pos,Age,Tm,G,MP,3P,2P,FT,AST,STL,BLK,PF,PTS
Jaden Ivey,SG,21,DET,77,2217,124,293,227,296,57,41,204,1185
Andre Jackson Jr.,SG,22,MIL,57,572,17,33,8,50,16,6,92,125
GG Jackson II,PF,19,MEM,48,1233,102,139,115,59,28,24,64,699
Isaiah Jackson,C,22,IND,59,771,0,155,73,50,34,61,137,383
Jaren Jackson Jr.,C,24,MEM,66,2124,117,399,337,154,80,106,235,1486
Justin Jackson,SF,28,MIN,2,1,0,0,0,0,0,0,0,0
Quenton Jackson,PG,25,IND,3,11,0,0,2,2,1,0,1,2
Reggie Jackson,PG,33,DEN,82,1817,102,224,79,308,44,13,149,833
Trayce Jackson-Davis,PF,23,GSW,68,1130,0,233,74,82,29,76,108,540
LeBron James,PF,39,LAL,71,2504,149,536,303,589,89,38,78,1822
Jaime Jaquez Jr.,SF,22,MIA,75,2113,65,276,142,195,77,20,167,889
DeJon Jarreau,SG,26,MEM,9,150,4,13,5,26,6,2,14,43
DaQuan Jeffries,SG,26,NYK,17,46,2,4,0,5,0,1,2,14
Trey Jemison,C,24,TOT,25,573,0,75,21,27,12,28,69,171
Trey Jemison,C,24,WAS,2,1,0,0,0,0,0,0,0,0
Trey Jemison,C,24,MEM,23,572,0,75,21,27,12,28,69,171
Ty Jerome,SG,26,CLE,2,15,0,2,0,3,0,0,2,4
Isaiah Joe,SG,24,OKC,78,1445,147,75,45,99,46,22,87,636
Cameron Johnson,PF,27,BRK,58,1599,138,138,86,138,49,15,105,776
Jalen Johnson,SF,22,ATL,56,1889,71,288,107,203,67,47,133,896
James Johnson,PF,36,IND,9,47,0,3,2,8,5,1,9,8
Keldon Johnson,SF,24,SAS,69,2038,127,264,175,195,51,20,149,1084
Player,Pos,Age,Tm,G,MP,3P,2P,FT,AST,STL,BLK,PF,PTS
Keon Johnson,SG,21,BRK,5,61,4,4,11,3,3,1,5,31
Keyontae Johnson,SF,23,OKC,9,66,1,4,0,4,1,0,5,11
Nikola Jokić,C,28,DEN,79,2737,83,739,358,708,108,68,194,2085
Colby Jones,SG,21,SAC,30,192,2,26,6,20,7,5,29,64
Damian Jones,C,28,CLE,39,270,3,40,18,15,7,13,27,107
